entry_in_english
"a, A"
abattoir
abbreviate
abbreviation
abdomen
abide
able
aboriginal
Aborigine
abort
abortion
about
about-face
about-turn
above
abroad
abscess
abscond
absence
absent
absent-minded
absorb
absorption
absurd
abuse
abused
accelerate
accelerator
accept
acceptability
acceptable
acceptance
access
access request form
accident
accidentally
acclimatisation
acclimatise
acclimatised
accommodate
accommodation
accord
accountant
accredited
accumulate
accumulation
accuracy
accurate
accusation
ba-ba
baby
back
backdrop
background
backing
back pack
backstroke
back up
backward
backwards
bacon
bacteria
bad
bad breath
badge
bad luck
badminton
bag
baggage
bagpipes
bain marie
bake
balance
balanced
bald
baldness
bald tyre
ball
ballet
ball joint
balloon
balls
ball-up (Australian rules football)
ban
banana
band
bandage
band-aid
bang
bangle
bank
banknote
bankrupt
bankruptcy
bank (shore)
banned
banquet
baptise
c
C
cab
cabbage
cabinet
cable
cable stitch
cache
caddie
cadge
cadger
Caesarean
cafe
cafeteria
caffeine
cage
Cairns
cake
calcification
calculate
calculation
calculator
calculus
calendar
called
called (named)
callisthenics
call (name)
call out
call (telephone)
call up
call (yell)
calm
calm down
calmness
calories
Calvary
camel
camera
cameraman
camp
camping
can
Canada
Canadian
canapes
Canberra
cancel
cancellation
dab
dad
daddy
damage
damn
damp
dampen
dampness
dance
dancer
danger
dangerous
Danish
dare
dark
darken
darkness
dart
darts
Darwin
dash lights
dash off
date
daughter
dawdle
dawdling
dawn
day
day (all day long)
daybreak
daydream
day-dream
daylight
day student
daytime
day tripper
dazzle
dazzling
"d, D"
dead
dead end
dead heat
deaf
deaf and dumb
deaf club
deafen
deaf mute
deaf (profound)
deal
each
each other
eager
eagerness
eagle
ear
earache
eardrum
ear lobe
early
earn
earnings
earphone
earring
earth
earthquake
ease
ease up
easily
east
Easter
easterly
eastern
eastwards
easy
eat
ECG
echidna
economic
economics
economising
economy
eczema
edit
educate
education
educational
"e, E"
effervescent
effort
egg
egg-beater
egotism
egotistic
Egypt
Egypt (Ancient Egypt)
eiderdown
eight
eighteen
f
F
fabric
face
face cloth
face flannel
face mask
face shield
facetime
face to face
face-to-face
face washer
facial expression
facilitate
facilitator
facing
facsimile
facsimile machine
fact
factory
factual
fade
faded
fading
faff
faff about
fag (cigarette)
fail
failing
failure
faint
fair
fairness
fairway
fairy
faith
fake
fall
fall back
fall behind
fall in love
false
false teeth
familial
familiar
familiarity
familiar with
family
famous
gadabout
gag
gale
gallbladder
gallop
galloping
gamble
gambling
game
gaming card
ganache
gaol
gape
garage
garbage
garden
gardener
gardening
gardens
garlic
garment
garments
garnish
garter stitch
gasoline
gastroenteritis
gate
gauge
gaunt
gay
gaze
gear lever
gears
gearshift
gear-stick
geese
Gemini
gene
general
generally
generation
generous
genetics
genie
genius
gentle
gentleman
gentleness
genuflect
habit
habitual
habitually
habituation
haemorrhoids
hail
hailstone
hair
hairbrush
hair bun
hair cut
hairdresser
hairdressing
hair-raising
hair spray
half
half hour
